addr:city:,cuisine:japanese,1
addr:city:,cuisine:mexican,7
addr:city:,cuisine:pizza,5
addr:city:,cuisine:regional,1
addr:city:,cuisine:sandwich,7
addr:city:,cuisine:seafood,3
addr:city:,cuisine:steak_house,1
addr:city:,cuisine:tex-mex,4
addr:city:,cuisine:thai,1
addr:city:,cuisine:wings,2
addr:city:,delivery:,1
addr:city:,delivery:yes,9
addr:city:,denomination:,9
addr:city:,denomination:orthodox_presbyterian_church,2
addr:city:,description:,12
addr:city:,designation:,3
addr:city:,diet:vegan:,2
addr:city:,diet:vegetarian:,2
addr:city:,diocese:,1
addr:city:,dispensing:yes,1
addr:city:,disused:,9
addr:city:,disused:name:,1
addr:city:,disused:shop:,2
addr:city:,drink:,13
addr:city:,drink:beer:,1
addr:city:,drink:coffee:,1
addr:city:,drink:tea:,1
addr:city:,drink:wine:,1
addr:city:,drive_through:no,7
addr:city:,drive_through:yes,14
addr:city:,ele:,4290
addr:city:,email:,8
addr:city:,emergency:,1
addr:city:,emergency:yes,4
addr:city:,entrance:yes,24
addr:city:,faa:,6
addr:city:,fast_food:,7
addr:city:,fax:,2
addr:city:,fuel:,7
addr:city:,full_name:,1
addr:city:,gnis:feature_id:,36
addr:city:,grades:,5
addr:city:,healthcare:alternative,1
addr:city:,healthcare:clinic,1
addr:city:,healthcare:dentist,9
addr:city:,healthcare:doctor,1
addr:city:,healthcare:hospital,6
addr:city:,healthcare:pharmacy,5
addr:city:,healthcare:physiotherapist,1
addr:city:,healthcare:speciality:,5
addr:city:,healthcare:speciality:psychiatry,1
addr:city:,healthcare:yes,2
addr:city:,height:,4548
addr:city:,heritage:4,1
addr:city:,heritage:operator:,1
addr:city:,heritage:website:,1
addr:city:,highchair:,1
addr:city:,historic:,1
addr:city:,iata:,11
addr:city:,icao:,11
addr:city:,image:,1
addr:city:,indoor_seating:,9
addr:city:,industrial:oil,4
addr:city:,internet_access:fee:,8
addr:city:,internet_access:no,1
addr:city:,internet_access:ssid:,6
addr:city:,internet_access:wlan,18
addr:city:,internet_access:yes,1
addr:city:,lacounty:ain:,614
addr:city:,lacounty:bld_id:,614
addr:city:,landuse:education,4
addr:city:,landuse:industrial,4
addr:city:,landuse:military,1
addr:city:,landuse:quarry,7
addr:city:,landuse:residential,5
addr:city:,language:,2
addr:city:,layer:1,5
addr:city:,leisure:fitness_centre,6
addr:city:,leisure:park,1
addr:city:,leisure:sauna,1
addr:city:,leisure:sports_centre,3
addr:city:,level:,10
addr:city:,military_service:coast_guard,1
addr:city:,name:,360
addr:city:,name:7-Eleven,7
addr:city:,name:Costco,6
addr:city:,name:McDonald's,6
addr:city:,name:Starbucks,10
addr:city:,name:Subway,4
addr:city:,name:de:,5
addr:city:,name:el:,5
addr:city:,name:en:,6
addr:city:,name:etymology:wikidata:,6
addr:city:,name:ja:,6
addr:city:,network:,1
addr:city:,network:wikidata:,1
addr:city:,note:,2
addr:city:,office:consulting,1
addr:city:,office:estate_agent,6
addr:city:,office:insurance,2
addr:city:,office:lawyer,2
addr:city:,office:notary,1
addr:city:,official_name:,27
addr:city:,old_name:,20
addr:city:,opening_hours:,113
addr:city:,opening_hours:covid19:,2
addr:city:,opening_hours:drive_through:,1
addr:city:,opening_hours:signed:no,2
addr:city:,operator:,56
addr:city:,operator:short:,10
addr:city:,operator:type:,5
addr:city:,operator:type:public,13
addr:city:,operator:website:,5
addr:city:,operator:wikidata:,19
addr:city:,operator:wikipedia:,6
addr:city:,outdoor_seating:no,7
addr:city:,outdoor_seating:yes,4
addr:city:,owner:,5
addr:city:,ownership:,1
addr:city:,parking:multi-storey,2
addr:city:,payment:,2
addr:city:,payment:american_express:,2
addr:city:,payment:cash:,4
addr:city:,payment:cheque:,2
addr:city:,payment:coins:,1
addr:city:,payment:contactless:,2
addr:city:,payment:credit_cards:,1
addr:city:,payment:debit_cards:,1
addr:city:,payment:discover_card:,2
addr:city:,payment:mastercard:,3
addr:city:,payment:visa:,4
addr:city:,phone:,168
addr:city:,preschool:,1
addr:city:,protection_title:,1
addr:city:,ref:,63
addr:city:,ref::nonexistant subkey,1
addr:city:,religion:christian,13
addr:city:,reservation:,1
addr:city:,residential:apartments,1
addr:city:,residential:condominium,1
addr:city:,residential:trailer_park,3
addr:city:,resource:aggregate,7
addr:city:,roof:colour:,4
addr:city:,roof:levels:,28
addr:city:,roof:orientation:along,1
addr:city:,roof:shape:flat,15
addr:city:,roof:shape:gabled,1
addr:city:,roof:shape:hipped,4
addr:city:,service_times:,1
addr:city:,shop:,1
addr:city:,shop:alcohol,2
addr:city:,shop:art,1
addr:city:,shop:bakery,2
addr:city:,shop:beauty,7
addr:city:,shop:bed,1
addr:city:,shop:books,1
addr:city:,shop:car,1
addr:city:,shop:car_repair,7
addr:city:,shop:chemist,2
addr:city:,shop:chocolate,1
addr:city:,shop:clothes,2
addr:city:,shop:confectionery,1
addr:city:,shop:convenience,11
addr:city:,shop:copyshop,2
addr:city:,shop:cosmetics,1
addr:city:,shop:craft,2
addr:city:,shop:department_store,6
addr:city:,shop:doityourself,8
addr:city:,shop:dry_cleaning,4
addr:city:,shop:florist,1
addr:city:,shop:frame,2
addr:city:,shop:hairdresser,12
addr:city:,shop:houseware,1
addr:city:,shop:jewelry,4
addr:city:,shop:laundry,1
addr:city:,shop:musical_instrument,1
addr:city:,shop:optician,3
addr:city:,shop:pastry,1
addr:city:,shop:pet,5
addr:city:,shop:pet_grooming,1
addr:city:,shop:shoes,2
addr:city:,shop:sports,3
addr:city:,shop:stationery,1
addr:city:,shop:storage_rental,1
