size,dataset,model,best_mae,training_time,lr,lr_min,weight_decay,date,config
small,bridge,ScaleMAE-LIN,0.251748263835907,3m 39s,,,,2025-01-09,remote-logs/logs/pytorch/2025-01-09/bridge/scalemae/scalemae_linc/hydra/config.yaml
small,bridge,geojepa_ti_jan12_100e-TI-MLP,0.25524476170539856,2m 0s,,,,2025-01-12,remote-logs/logs/pytorch/2025-01-12/bridge/geojepa_ti_jan12_100e/geojepa_ti_jan12_100e_mlpc/hydra/config.yaml
small,bridge,geojepa_gti_170e-GTI-MLP,0.279720276594162,2m 3s,,,,2025-01-14,remote-logs/logs/pytorch/2025-01-14/bridge/geojepa_gti_170e/geojepa_gti_170e_mlpc/hydra/config.yaml
small,bridge,AG-197M-3600s,0.2980254292488098,65m 33s,,,,2025-01-09,remote-logs/ag-logs/eval/2025-01-09/bridge/best-3600s/hydra/config.yaml
small,bridge,AG-4M-900s,0.32387879490852356,15m 46s,,,,2025-01-09,remote-logs/ag-logs/eval/2025-01-09/bridge/medium-900s/hydra/config.yaml
small,bridge,GPT-4o-mini,0.3486215538847118,,,,,2025-01-08,remote-logs/eval_gpt/gpt_small/4o-mini/bridge/hydra/config.yaml
small,bridge,ResNet-MLP,0.3601398468017578,2m 51s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/bridge/resnet/resnet_mlpc/hydra/config.yaml
small,bridge,ResNet-LIN,0.3601398468017578,2m 45s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/bridge/resnet/resnet_linc/hydra/config.yaml
small,bridge,EfficientNet-MLP,0.3601398468017578,2m 36s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/bridge/efficientnet/efficientnet_mlpc/hydra/config.yaml
small,bridge,EfficientNet-LIN,0.3601398468017578,2m 31s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/bridge/efficientnet/efficientnet_linc/hydra/config.yaml
small,bridge,cheat_tagformer_ae-MLP,0.3601398468017578,0m 21s,,,,2025-01-15,remote-logs/logs/pytorch/2025-01-15/bridge/tagformer_ae/tagformer_ae_mlpc/hydra/config.yaml
small,bridge,cheat_tagformer_ae-LIN,0.3601398468017578,0m 20s,,,,2025-01-15,remote-logs/logs/pytorch/2025-01-15/bridge/tagformer_ae/tagformer_ae_linc/hydra/config.yaml
small,bridge,AG-4M-600s,0.3687072992324829,10m 47s,,,,2025-01-09,remote-logs/ag-logs/eval/2025-01-09/bridge/medium-600s/hydra/config.yaml
small,bridge,Dummy,0.66,,,,,2025-01-12,remote-logs/baselines/bridge/hydra/config.yaml
small,building_count,Tagformer-S,1.4160025119781494,34m 12s,0.0006351152427934166,3.92399409164446e-05,0.000398389144369163,2025-01-09,remote-logs/logs/train/2025-01-09/09-05-17_tagformer_lr_opt_tagformer/6_tagformer_building_count_cheat/hydra/config.yaml
small,building_count,geojepa_ti_jan12_100e-TI-MLP,3.945448398590088,2m 18s,,,,2025-01-12,remote-logs/logs/pytorch/2025-01-12/building_count/geojepa_ti_jan12_100e/geojepa_ti_jan12_100e_mlpr/hydra/config.yaml
small,building_count,TagAE-MLP,4.16556978225708,3m 25s,,,,2025-01-09,remote-logs/logs/pytorch/2025-01-09/building_count/tag_ae_dec_28/tag_ae_dec_28_mlpr/hydra/config.yaml
small,building_count,geojepa_gti_170e-GTI-MLP,5.1721343994140625,2m 20s,,,,2025-01-14,remote-logs/logs/pytorch/2025-01-14/building_count/geojepa_gti_170e/geojepa_gti_170e_mlpr/hydra/config.yaml
